log_rate_clusters log_rate_planets_per_cluster power_law_P power_law_r1 power_law_r2 sigma_hk sigma_incl sigma_incl_near_mmr sigma_log_radius_in_cluster sigma_logperiod_per_pl_in_cluster rate mult period pratio tdur logxi depth dratio dabove dbelow dratio_above dratio_below dratio_across dist_tot_weighted
0.073135 0.391101 -0.382686 -0.823368 -4.704740 0.003628 1.393060 9.815690 0.212273 0.164408 0.000047 0.018400 0.029125 0.068969 0.046114 0.055852 0.042906 0.117549 0.119970 0.074210 0.106509 0.142802 0.184258 13.660169
0.079273 0.056097 -0.528513 -0.446447 -5.300310 0.011748 2.743200 0.825692 0.224648 0.169938 0.000015 0.016414 0.055914 0.049661 0.032094 0.063468 0.034811 0.135877 0.127103 0.058193 0.128623 0.131877 0.187829 13.675488
0.090409 0.201432 -0.435112 -0.481684 -5.413500 0.011258 1.440860 7.358290 0.234735 0.142292 0.000040 0.018556 0.033575 0.063842 0.043353 0.052414 0.036658 0.146502 0.129455 0.058212 0.134253 0.160976 0.220639 13.683105
0.161728 0.308499 -0.373383 -0.942608 -4.440160 0.007688 1.364520 8.705130 0.193381 0.160173 0.000030 0.016594 0.038421 0.051284 0.040721 0.057411 0.048947 0.127484 0.123866 0.081650 0.100789 0.125170 0.210007 13.695866
-0.107954 0.468082 -0.445993 -0.449825 -5.549880 0.001979 1.526370 8.713250 0.236607 0.162931 0.000310 0.016698 0.031993 0.058530 0.039830 0.071286 0.033839 0.129105 0.128433 0.038346 0.120623 0.111756 0.231206 13.701580
-0.048704 0.396668 -0.459522 -0.529517 -5.163270 0.002977 1.322400 9.489460 0.225861 0.163583 0.000262 0.020220 0.037460 0.046464 0.038945 0.051023 0.038815 0.138383 0.125729 0.059570 0.115834 0.159675 0.218538 13.706561
0.078648 0.182035 -0.433514 -0.467748 -5.326920 0.011435 1.289310 8.357980 0.222886 0.148019 0.000050 0.022019 0.032165 0.065041 0.045112 0.059813 0.034890 0.116513 0.133965 0.049600 0.113935 0.126403 0.193477 13.714974
0.111647 0.193903 -0.386946 -0.648387 -5.156550 0.013404 3.090030 0.417351 0.200029 0.186292 0.000020 0.019271 0.040299 0.051766 0.046221 0.046650 0.040309 0.138835 0.129477 0.059078 0.106240 0.140537 0.237841 13.728017
0.055556 0.296684 -0.487365 -0.711375 -4.979310 0.002190 1.146660 9.858350 0.253350 0.160108 0.000000 0.021046 0.041344 0.052075 0.032384 0.053137 0.043024 0.142202 0.111189 0.067988 0.134210 0.158276 0.205050 13.735340
-0.070114 0.377553 -0.486015 -0.457722 -5.329040 0.004363 1.233930 9.924490 0.222987 0.163510 0.000467 0.016601 0.037873 0.057935 0.044826 0.049470 0.033740 0.123816 0.129709 0.051231 0.118282 0.104520 0.226387 13.744424
